time="2023-05-22T10:52:44+08:00" level=info msg="Authorized on account Transit2023Bot"
time="2023-05-22T10:52:45+08:00" level=info msg="2023-05-22 10:52:45.0075358 +0800 +08 m=+4.156742701  Starting"
time="2023-05-25T15:48:43+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T15:48:57+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T15:49:11+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T15:49:40+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T15:52:23+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T15:54:31+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T15:59:49+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T16:07:49+08:00" level=info msg="Bad Request: group chat was upgraded to a supergroup chat"
time="2023-05-25T16:12:52+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T16:27:40+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T16:30:08+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T16:33:10+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T16:40:54+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T16:42:42+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:01:36+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:02:08+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:05:35+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:13:50+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:16:39+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:18:10+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:19:47+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:20:02+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:25:48+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:30:57+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:31:18+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:32:12+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:32:20+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:32:33+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:35:17+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:35:27+08:00" level=error msg="bot发送信息出错，错误信息： Bad Request: chat not found"
time="2023-05-25T17:47:57+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:50:17+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:54:22+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:56:42+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:57:36+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T17:59:27+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T18:20:22+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T18:21:01+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T18:22:18+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T18:53:55+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T19:16:11+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T19:19:56+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
time="2023-05-25T19:33:14+08:00" level=info msg="Authorized on account: Transit2023Bot  ID: 6269278589"
